1632534300000,42191.95000000,42449.96000000,42143.81000000,42392.91000000,308.59393000,1632535199999,13071928.63872420,8585,175.74151000,7444917.82780290,0
1632535200000,42392.91000000,42541.54000000,42345.00000000,42412.45000000,250.54705000,1632536099999,10635048.07769820,8039,137.49911000,5836607.70829970,0
1632536100000,42412.44000000,42559.19000000,42412.44000000,42510.10000000,261.09047000,1632536999999,11100365.14130190,6553,125.03330000,5315616.15685520,0
1632537000000,42510.10000000,42738.52000000,42503.19000000,42598.70000000,266.77412000,1632537899999,11370936.27529540,8532,141.14222000,6015840.82142940,0
1632537900000,42598.69000000,42598.70000000,42278.40000000,42336.36000000,308.09712000,1632538799999,13067910.26712180,8270,126.69376000,5373101.18172020,0
1632538800000,42336.36000000,42499.69000000,42326.38000000,42370.33000000,217.80303000,1632539699999,9236262.22935160,6742,100.37719000,4256941.29417200,0
1632539700000,42370.32000000,42683.30000000,42365.21000000,42556.55000000,394.49964000,1632540599999,16785418.84477390,8389,191.51092000,8149062.16992360,0
1632540600000,42556.54000000,42781.62000000,42556.54000000,42694.98000000,456.34075000,1632541499999,19473762.10060870,9611,231.07718000,9862577.78093130,0
1632541500000,42694.99000000,42734.32000000,42592.75000000,42608.11000000,241.39422000,1632542399999,10296985.95276880,6584,119.18712000,5084064.86728860,0
1632542400000,42608.11000000,42860.94000000,42608.11000000,42690.01000000,321.43068000,1632543299999,13745625.60256640,9565,171.40223000,7329789.83069230,0
1632543300000,42690.01000000,42846.10000000,42690.00000000,42830.15000000,207.82713000,1632544199999,8893064.34971850,7378,118.93050000,5088591.22263470,0
1632544200000,42830.16000000,42846.63000000,42740.01000000,42775.03000000,184.19934000,1632545099999,7883988.75138720,6036,95.10592000,4070563.17743080,0
1632545100000,42775.02000000,42794.07000000,42657.37000000,42693.01000000,242.85008000,1632545999999,10374562.09856710,5830,105.33377000,4499605.04382100,0
1632546000000,42693.00000000,42842.48000000,42424.10000000,42428.34000000,452.79042000,1632546899999,19302242.75692230,11735,178.62513000,7622816.30431730,0
1632546900000,42428.34000000,42548.70000000,42400.00000000,42460.49000000,306.76102000,1632547799999,13030324.26013380,10306,145.68724000,6188066.64121130,0
1632547800000,42460.49000000,42745.05000000,42460.49000000,42568.73000000,220.32902000,1632548699999,9391326.23861190,8765,116.50291000,4965331.36935760,0
1632548700000,42568.72000000,42668.23000000,42434.42000000,42446.13000000,180.22793000,1632549599999,7670738.14839200,7892,72.44047000,3082370.78646390,0
1632549600000,42446.09000000,42546.81000000,42435.48000000,42479.46000000,184.62657000,1632550499999,7846631.63304150,6312,88.51915000,3761869.80485190,0
1632550500000,42479.46000000,42697.41000000,42475.68000000,42644.70000000,176.41966000,1632551399999,7520819.97157830,6180,87.26886000,3720103.05049710,0
1632551400000,42644.70000000,42806.00000000,42637.79000000,42785.94000000,237.10360000,1632552299999,10132344.36606980,7459,135.58914000,5794173.69318530,0
1632552300000,42788.88000000,42816.74000000,42700.01000000,42744.69000000,194.93559000,1632553199999,8332188.58155140,6462,100.74409000,4306263.73427230,0
1632553200000,42744.70000000,42785.40000000,42621.10000000,42660.12000000,151.22473000,1632554099999,6455028.10301150,6770,59.57755000,2543031.52108340,0
1632554100000,42660.12000000,42662.31000000,42330.18000000,42356.40000000,392.49754000,1632554999999,16675110.35258270,10494,178.64279000,7588096.47091930,0
1632555000000,42356.40000000,42481.26000000,42206.43000000,42419.89000000,467.12751000,1632555899999,19772999.43295370,12785,238.23147000,10086488.99260190,0
1632555900000,42418.80000000,42530.15000000,42321.38000000,42372.02000000,411.03301000,1632556799999,17438239.92562760,10543,201.78493000,8561844.67275920,0
1632556800000,42369.52000000,42526.32000000,42196.75000000,42251.95000000,557.29088000,1632557699999,23574731.18056430,15367,260.13750000,11006340.83383240,0
1632557700000,42251.95000000,42330.65000000,42021.00000000,42126.06000000,797.71280000,1632558599999,33608271.76723380,19346,383.33813000,16149410.53408010,0
1632558600000,42126.06000000,42126.06000000,41646.28000000,41835.49000000,1281.36032000,1632559499999,53591344.34669680,28955,547.66472000,22900756.27427900,0
1632559500000,41835.49000000,42803.40000000,41733.61000000,42642.91000000,1382.96839000,1632560399999,58615628.87568800,28892,698.68839000,29597967.01408350,0
1632560400000,42642.91000000,42760.49000000,42448.27000000,42517.99000000,658.89206000,1632561299999,28072845.85673530,17511,322.02983000,13720123.13347810,0
1632561300000,42518.00000000,42815.89000000,42448.09000000,42747.23000000,638.19668000,1632562199999,27216092.08304240,15533,364.69344000,15552737.15293030,0
1632562200000,42747.22000000,42899.54000000,42673.25000000,42729.51000000,613.52131000,1632563099999,26266939.50608170,14903,308.59179000,13213032.53511670,0
1632563100000,42725.99000000,42766.00000000,42559.20000000,42649.29000000,343.36582000,1632563999999,14651689.50692910,10408,154.13883000,6576790.69852290,0
1632564000000,42649.28000000,42966.84000000,42648.33000000,42934.50000000,477.18671000,1632564899999,20445930.84611640,13197,269.04723000,11525439.09633400,0
1632564900000,42934.50000000,42940.59000000,42793.73000000,42866.60000000,259.40056000,1632565799999,11116455.91904730,9312,128.91680000,5524369.67079070,0
1632565800000,42866.59000000,42899.00000000,42664.07000000,42733.11000000,230.79467000,1632566699999,9863873.61960880,8296,97.47351000,4165126.67657630,0
1632566700000,42733.12000000,42739.02000000,42600.00000000,42679.58000000,199.23948000,1632567599999,8500082.05763540,8215,87.30190000,3724673.35220320,0
1632567600000,42679.58000000,42683.15000000,42234.10000000,42424.02000000,593.45887000,1632568499999,25168105.36470830,15300,254.98862000,10812013.35707170,0
